Unnamed: 0,invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total_price,hour,day_name,month,shift,revenue,profit
43,44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-03-04,2026-01-09 20:39:00,Cash,7.6,0.48,789.6,20,Monday,3,Evening,789.6,379.008
44,45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,2026-01-09 19:47:00,Cash,7.2,0.48,30.74,19,Saturday,3,Evening,30.74,14.755199999999999
45,46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-03-09,2026-01-09 18:00:00,Cash,9.5,0.33,375.84,18,Saturday,3,Evening,375.84,124.0272
46,47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,2026-01-09 17:24:00,Credit card,8.4,0.33,510.21,17,Wednesday,2,Afternoon,510.21,168.3693
47,48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-02-06,2026-01-09 15:47:00,Ewallet,4.1,0.48,180.09,15,Wednesday,2,Afternoon,180.09,86.4432
48,49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-02-10,2026-01-09 12:45:00,Credit card,8.1,0.33,113.58,12,Sunday,2,Afternoon,113.58,37.4814
49,50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,2026-01-09 17:08:00,Ewallet,7.9,0.48,826.3,17,Tuesday,3,Afternoon,826.3,396.62399999999997
50,51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-02-03,2026-01-09 10:19:00,Cash,9.5,0.33,639.8000000000001,10,Sunday,2,Morning,639.8000000000001,211.13400000000004
51,52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-02-10,2026-01-09 15:10:00,Cash,8.5,0.33,222.95,15,Sunday,2,Afternoon,222.95000000000002,73.57350000000001
52,53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,2026-01-09 14:42:00,Ewallet,6.5,0.48,71.48,14,Friday,3,Afternoon,71.48,34.3104
53,54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,2026-01-09 15:46:00,Credit card,6.1,0.48,15.43,15,Friday,1,Afternoon,15.43,7.4064
54,55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-03-07,2026-01-09 11:49:00,Ewallet,6.5,0.48,32.32,11,Thursday,3,Morning,32.32,15.5136
55,56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,2026-01-09 19:01:00,Cash,8.2,0.48,687.84,19,Thursday,2,Evening,687.84,330.1632
56,57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,2026-01-09 11:26:00,Cash,5.8,0.36,88.68,11,Wednesday,3,Morning,88.68,31.9248
57,58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-02-07,2026-01-09 11:28:00,Ewallet,6.6,0.33,716.8,11,Thursday,2,Morning,716.8,236.54399999999998
58,59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,2026-01-09 15:55:00,Cash,5.4,0.33,723.5,15,Sunday,1,Afternoon,723.5,238.75500000000002
59,60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-03-12,2026-01-09 20:36:00,Cash,9.3,0.48,183.66,20,Tuesday,3,Evening,183.66,88.15679999999999
60,61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,2026-01-09 17:47:00,Credit card,10.0,0.48,74.22,17,Friday,2,Afternoon,74.22,35.6256
61,62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,2026-01-09 10:55:00,Ewallet,7.0,0.33,334.38,10,Sunday,2,Morning,334.38,110.3454
62,63,WALM037,League City,Sports and travel,55.07,9.0,2019-02-03,2026-01-09 13:40:00,Ewallet,10.0,0.48,495.63,13,Sunday,2,Afternoon,495.63,237.9024
63,64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-03-06,2026-01-09 12:27:00,Credit card,8.6,0.33,158.1,12,Wednesday,3,Afternoon,158.1,52.173
64,65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,2026-01-09 14:35:00,Cash,7.6,0.33,302.96,14,Thursday,2,Afternoon,302.96,99.9768
65,66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,2026-01-09 16:40:00,Cash,5.8,0.48,158.7,16,Wednesday,3,Afternoon,158.7,76.17599999999999
66,67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-02-10,2026-01-09 15:43:00,Ewallet,6.7,0.48,66.94,15,Sunday,2,Afternoon,66.94,32.1312
67,68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-01-07,2026-01-09 15:01:00,Ewallet,9.9,0.48,585.66,15,Monday,1,Afternoon,585.66,281.11679999999996
68,69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,2026-01-09 10:04:00,Cash,6.4,0.33,787.6999999999999,10,Thursday,1,Morning,787.6999999999999,259.941
69,70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,2026-01-09 18:50:00,Cash,4.3,0.48,18.33,18,Saturday,2,Evening,18.33,8.798399999999999
70,71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-01-06,2026-01-09 12:46:00,Credit card,9.6,0.48,894.8000000000001,12,Sunday,1,Afternoon,894.8000000000001,429.504
71,72,WALM017,McKinney,Fashion accessories,62.12,10.0,2019-02-11,2026-01-09 16:19:00,Cash,5.9,0.48,621.1999999999999,16,Monday,2,Afternoon,621.1999999999999,298.17599999999993
72,73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-03-05,2026-01-09 18:17:00,Ewallet,4.0,0.18,145.56,18,Tuesday,3,Evening,145.56,26.2008
73,74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-03-09,2026-01-09 18:21:00,Cash,8.7,0.33,455.46,18,Saturday,3,Evening,455.46,150.30180000000001
74,75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,2026-01-09 10:55:00,Ewallet,9.4,0.33,672.03,10,Tuesday,1,Morning,672.03,221.7699
75,76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,2026-01-09 17:04:00,Credit card,5.4,0.48,416.5,17,Sunday,1,Afternoon,416.5,199.92
76,77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-01-09,2026-01-09 14:20:00,Credit card,8.6,0.33,441.36,14,Wednesday,1,Afternoon,441.36,145.64880000000002
77,78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-01-12,2026-01-09 15:48:00,Credit card,5.7,0.33,180.09,15,Saturday,1,Afternoon,180.09,59.429700000000004
78,79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-03-05,2026-01-09 16:24:00,Ewallet,6.6,0.33,783.1,16,Tuesday,3,Afternoon,783.1,258.423
79,80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,2026-01-09 18:56:00,Cash,6.0,0.33,101.9,18,Tuesday,1,Evening,101.89999999999999,33.626999999999995
80,81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,2026-01-09 14:42:00,Credit card,5.5,0.33,595.14,14,Monday,1,Afternoon,595.14,196.3962
81,82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,2026-01-09 19:56:00,Ewallet,6.4,0.33,290.04,19,Saturday,1,Evening,290.04,95.71320000000001
82,83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,2026-01-09 18:37:00,Ewallet,6.6,0.33,154.0,18,Wednesday,1,Evening,154.0,50.82
83,84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,2026-01-09 18:45:00,Ewallet,8.3,0.48,321.44,18,Saturday,2,Evening,321.44,154.2912
84,85,WALM097,Alice,Sports and travel,48.91,5.0,2019-03-09,2026-01-09 10:17:00,Cash,6.6,0.18,244.55,10,Saturday,3,Morning,244.54999999999998,44.019
85,86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-03-05,2026-01-09 14:31:00,Ewallet,4.0,0.48,581.4200000000001,14,Tuesday,3,Afternoon,581.4200000000001,279.08160000000004
86,87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,2026-01-09 10:23:00,Cash,9.9,0.48,382.6,10,Monday,3,Morning,382.59999999999997,183.64799999999997
87,88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,2026-01-09 20:35:00,Credit card,7.3,0.48,345.66,20,Wednesday,3,Evening,345.66,165.9168
88,89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-01-02,2026-01-09 16:57:00,Cash,5.7,0.48,42.47,16,Wednesday,1,Afternoon,42.47,20.3856
89,90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,2026-01-09 17:55:00,Cash,6.1,0.33,461.93999999999994,17,Wednesday,2,Afternoon,461.93999999999994,152.44019999999998
90,91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,2026-01-09 10:25:00,Cash,7.1,0.33,189.52,10,Wednesday,1,Morning,189.52,62.54160000000001
91,92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,2026-01-09 19:54:00,Ewallet,8.2,0.48,448.6,19,Saturday,1,Evening,448.6,215.328
92,93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-01-10,2026-01-09 16:42:00,Ewallet,5.1,0.48,153.86,16,Thursday,1,Afternoon,153.86,73.8528
93,94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-03-12,2026-01-09 12:09:00,Credit card,8.6,0.33,579.24,12,Tuesday,3,Afternoon,579.24,191.1492
94,95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-02-06,2026-01-09 20:05:00,Credit card,6.6,0.33,89.75,20,Wednesday,2,Evening,89.75,29.6175
95,96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-03-08,2026-01-09 20:38:00,Ewallet,7.2,0.48,97.16,20,Friday,3,Evening,97.16,46.636799999999994
96,97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,2026-01-09 10:25:00,Ewallet,5.1,0.48,878.7,10,Friday,3,Morning,878.7,421.776
97,98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-02-09,2026-01-09 13:11:00,Cash,4.1,0.18,74.69999999999999,13,Saturday,2,Afternoon,74.69999999999999,13.445999999999998
98,99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,2026-01-09 10:16:00,Ewallet,9.3,0.48,158.25,10,Saturday,3,Morning,158.25,75.96
99,100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-03-05,2026-01-09 18:14:00,Cash,7.4,0.48,496.2000000000001,18,Tuesday,3,Evening,496.20000000000005,238.17600000000002
100,101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,2026-01-09 19:20:00,Cash,4.1,0.33,48.71,19,Tuesday,3,Evening,48.71,16.0743
101,102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-03-01,2026-01-09 13:22:00,Cash,7.2,0.33,706.9499999999999,13,Friday,3,Afternoon,706.9499999999999,233.2935
102,103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-02-01,2026-01-09 11:27:00,Cash,4.9,0.48,207.63,11,Friday,2,Morning,207.63,99.66239999999999
103,104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,2026-01-09 16:44:00,Cash,9.9,0.48,349.56,16,Thursday,3,Afternoon,349.56,167.7888
104,105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,2026-01-09 18:19:00,Cash,8.0,0.33,212.45,18,Tuesday,3,Evening,212.45000000000002,70.1085
105,106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-01-12,2026-01-09 14:50:00,Ewallet,7.3,0.33,886.7,14,Saturday,1,Afternoon,886.7,292.61100000000005
106,107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-01-05,2026-01-09 20:54:00,Credit card,7.9,0.48,164.28,20,Saturday,1,Evening,164.28,78.8544
107,108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,2026-01-09 20:19:00,Cash,7.4,0.48,372.78,20,Friday,3,Evening,372.78000000000003,178.9344
108,109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,2026-01-09 10:43:00,Cash,4.2,0.48,305.82,10,Sunday,3,Morning,305.82,146.7936
109,110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,2026-01-09 14:30:00,Cash,9.2,0.33,819.7,14,Sunday,3,Afternoon,819.7,270.50100000000003
110,111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-02-05,2026-01-09 11:32:00,Ewallet,4.6,0.48,32.98,11,Tuesday,2,Morning,32.98,15.830399999999997
111,112,WALM025,Waco,Health and beauty,98.21,3.0,2019-02-05,2026-01-09 10:41:00,Credit card,7.8,0.48,294.63,10,Tuesday,2,Morning,294.63,141.42239999999998
112,113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,2026-01-09 12:44:00,Cash,8.4,0.48,509.88,12,Friday,2,Afternoon,509.88,244.74239999999998
113,114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,2026-01-09 20:07:00,Ewallet,4.3,0.48,522.63,20,Saturday,1,Evening,522.63,250.86239999999998
114,115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-02-01,2026-01-09 20:31:00,Credit card,9.5,0.36,727.11,20,Friday,2,Evening,727.11,261.7596
115,116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-03-02,2026-01-09 13:01:00,Credit card,7.1,0.33,81.06,13,Saturday,3,Afternoon,81.06,26.7498
116,117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-03-05,2026-01-09 12:29:00,Ewallet,5.3,0.48,109.7,12,Tuesday,3,Afternoon,109.7,52.656
117,118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,2026-01-09 15:26:00,Ewallet,5.2,0.33,51.36,15,Wednesday,1,Afternoon,51.36,16.948800000000002
118,119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,2026-01-09 20:48:00,Ewallet,6.0,0.48,109.6,20,Saturday,2,Evening,109.60000000000001,52.608000000000004
119,120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,2026-01-09 20:38:00,Ewallet,4.1,0.33,106.88,20,Sunday,1,Evening,106.88,35.2704
120,121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,2026-01-09 17:03:00,Credit card,5.2,0.48,796.48,17,Thursday,2,Afternoon,796.48,382.3104
121,122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-01-12,2026-01-09 12:02:00,Credit card,6.5,0.33,399.84,12,Saturday,1,Afternoon,399.84,131.9472
122,123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-03-09,2026-01-09 17:26:00,Credit card,4.2,0.33,899.64,17,Saturday,3,Afternoon,899.64,296.88120000000004
123,124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,2026-01-09 19:52:00,Credit card,4.6,0.33,511.28,19,Wednesday,3,Evening,511.28,168.7224
124,125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-03-09,2026-01-09 14:57:00,Ewallet,7.3,0.33,451.76,14,Saturday,3,Afternoon,451.76,149.0808
125,126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-03-10,2026-01-09 18:44:00,Credit card,4.5,0.48,655.8299999999999,18,Sunday,3,Evening,655.8299999999999,314.79839999999996
126,127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,2026-01-09 13:26:00,Cash,9.0,0.48,161.25,13,Sunday,1,Afternoon,161.25,77.39999999999999
127,128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-01-08,2026-01-09 16:17:00,Credit card,5.9,0.48,285.57,16,Tuesday,1,Afternoon,285.57,137.0736
128,129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-01-08,2026-01-09 15:57:00,Ewallet,8.5,0.48,548.32,15,Tuesday,1,Afternoon,548.32,263.1936
129,130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-02-08,2026-01-09 11:15:00,Ewallet,7.2,0.48,812.52,11,Friday,2,Morning,812.52,390.0096
130,131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,2026-01-09 13:18:00,Cash,7.5,0.48,277.34,13,Friday,1,Afternoon,277.34,133.1232
131,132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-03-06,2026-01-09 20:34:00,Cash,8.3,0.33,552.78,20,Wednesday,3,Evening,552.78,182.4174
132,133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-02-10,2026-01-09 18:36:00,Cash,7.4,0.33,139.36,18,Sunday,2,Evening,139.36,45.988800000000005
133,134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,2026-01-09 14:40:00,Credit card,8.8,0.36,524.7,14,Sunday,2,Afternoon,524.7,188.892
134,135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-03-08,2026-01-09 16:43:00,Ewallet,5.3,0.33,487.7999999999999,16,Friday,3,Afternoon,487.79999999999995,160.974
135,136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,2026-01-09 19:39:00,Cash,6.2,0.18,270.65999999999997,19,Monday,2,Evening,270.65999999999997,48.718799999999995
136,137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,2026-01-09 20:59:00,Credit card,8.8,0.48,131.54999999999998,20,Friday,1,Evening,131.54999999999998,63.14399999999999
137,138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,2026-01-09 15:39:00,Cash,9.8,0.33,206.52,15,Monday,2,Afternoon,206.52,68.1516
138,139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,2026-01-09 12:21:00,Cash,8.2,0.48,519.0999999999999,12,Saturday,2,Afternoon,519.0999999999999,249.16799999999995
139,140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,2026-01-09 19:25:00,Ewallet,9.2,0.48,580.0,19,Saturday,3,Evening,580.0,278.4
140,141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,2026-01-09 13:00:00,Credit card,5.4,0.48,898.0,13,Wednesday,1,Afternoon,898.0,431.03999999999996
141,142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,2026-01-09 13:48:00,Cash,8.1,0.48,905.0,13,Friday,1,Afternoon,905.0,434.4
142,143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-02-05,2026-01-09 19:57:00,Cash,9.1,0.57,686.0,19,Tuesday,2,Evening,686.0,391.02
143,144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,2026-01-09 10:36:00,Credit card,8.4,0.18,30.41,10,Friday,2,Morning,30.41,5.4738
144,145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,2026-01-09 16:37:00,Credit card,8.0,0.48,467.7000000000001,16,Monday,1,Afternoon,467.70000000000005,224.496
145,146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-03-08,2026-01-09 17:11:00,Credit card,9.5,0.48,277.56,17,Friday,3,Afternoon,277.56,133.2288
146,147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-02-10,2026-01-09 12:28:00,Ewallet,9.2,0.48,301.4,12,Sunday,2,Afternoon,301.4,144.672
147,148,WALM054,Sherman,Health and beauty,66.14,4.0,2019-03-19,2026-01-09 12:46:00,Credit card,5.6,0.21,264.56,12,Tuesday,3,Afternoon,264.56,55.5576
148,149,WALM049,North Richland Hills,Home and lifestyle,71.86,8.0,2019-03-06,2026-01-09 15:07:00,Credit card,6.2,0.48,574.88,15,Wednesday,3,Afternoon,574.88,275.94239999999996
